ROWID	_MapSubType|INTEGER	_Difficulty|INTEGER	_ExDifficultyType|INTEGER	_DeadExperienceWeight|DOUBLE	_CompleteExperienceWeight|DOUBLE	_DeadDurabilityWeight|DOUBLE	_HPWeight|DOUBLE	_AttackPMinWeight|DOUBLE	_AttackPMaxWeight|DOUBLE	_AttackMMinWeight|DOUBLE	_AttackMMaxWeight|DOUBLE	_DefensePWeight|DOUBLE	_DefenseMWeight|DOUBLE	_StiffWeight|DOUBLE	_CriticalWeight|DOUBLE	_StunWeight|DOUBLE	_StiffResistanceWeight|DOUBLE	_CriticalResistanceWeight|DOUBLE	_StunResistanceWeight|DOUBLE	_SuperAmmorWeight|DOUBLE	_Element_Str_Weight|DOUBLE	_Fire_Def_Weight|DOUBLE	_Ice_Def_Weight|DOUBLE	_Light_Def_Weight|DOUBLE	_Dark_Def_Weight|DOUBLE	_MoveSpeedWeight|DOUBLE	_DownDelayWeight|DOUBLE	_DurabilityWeight|DOUBLE	_GoldDropWeight|DOUBLE	_HeroExpWeight|DOUBLE	_PenaltyOption1|INTEGER	_PenaltyOption1Param|TEXT	_PenaltyOption2|INTEGER	_PenaltyOption2Param|TEXT	_PenaltyOption3|INTEGER	_PenaltyOption3Param|TEXT	_PenaltyOption4|INTEGER	_PenaltyOption4Param|TEXT	_PenaltyOption5|INTEGER	_PenaltyOption5Param|TEXT	_PenaltyOption6|INTEGER	_PenaltyOption6Param|TEXT	_PenaltyOption7|INTEGER	_PenaltyOption7Param|TEXT	_PenaltyOption8|INTEGER	_PenaltyOption8Param|TEXT	_PenaltyOption9|INTEGER	_PenaltyOption9Param|TEXT	_PenaltyOption10|INTEGER	_PenaltyOption10Param|TEXT
159	0	1	53	11.6	11.6	1.0	3.10260116E14	6.0653568E7	6.0653568E7	6.0653568E7	6.0653568E7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
160	0	1	54	11.8	11.8	1.0	5.8421984E14	8.9100088E7	8.9100088E7	8.9100088E7	8.9100088E7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
161	0	1	55	12.0	12.0	1.0	1.10008588E15	1.30888032E8	1.30888032E8	1.30888032E8	1.30888032E8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
162	0	1	56	12.2	12.2	1.0	2.07146179E15	1.92274512E8	1.92274512E8	1.92274512E8	1.92274512E8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
163	0	1	57	12.4	12.4	1.0	3.9005626E15	2.82451264E8	2.82451264E8	2.82451264E8	2.82451264E8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
164	0	1	58	12.6	12.6	1.0	7.3447591E15	4.14920928E8	4.14920928E8	4.14920928E8	4.14920928E8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
165	0	1	59	12.8	12.8	1.0	1.38301812E16	6.0951885E8	6.0951885E8	6.0951885E8	6.0951885E8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
166	0	1	60	13.0	13.0	1.0	2.60422314E16	8.9538317E8	8.9538317E8	8.9538317E8	8.9538317E8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
167	0	1	61	13.2	13.2	1.0	4.9037523E16	1.31531789E9	1.31531789E9	1.31531789E9	1.31531789E9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
168	0	1	62	13.4	13.4	1.0	9.2337657E16	1.93220186E9	1.93220186E9	1.93220186E9	1.93220186E9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
169	0	1	63	13.6	13.6	1.0	1.73871804E17	2.83840461E9	2.83840461E9	2.83840461E9	2.83840461E9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
170	0	1	64	13.8	13.8	1.0	3.27400615E17	4.16961638E9	4.16961638E9	4.16961638E9	4.16961638E9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
171	0	1	65	14.0	14.0	1.0	6.1649535E17	6.1251666E9	6.1251666E9	6.1251666E9	6.1251666E9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
172	0	1	66	14.2	14.2	1.0	1.16086067E18	8.9978696E9	8.9978696E9	8.9978696E9	8.9978696E9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
173	0	1	67	14.4	14.4	1.0	2.18590072E18	1.32178708E10	1.32178708E10	1.32178708E10	1.32178708E10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
174	0	1	68	14.6	14.6	1.0	4.11605119E18	1.94170511E10	1.94170511E10	1.94170511E10	1.94170511E10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
175	0	1	69	14.8	14.8	1.0	7.750524E18	2.8523649E10	2.8523649E10	2.8523649E10	2.8523649E10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
176	0	1	70	15.0	15.0	1.0	1.4594237E19	4.190124E10	4.190124E10	4.190124E10	4.190124E10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
177	0	1	71	15.2	15.2	1.0	2.748095E19	6.1552923E10	6.1552923E10	6.1552923E10	6.1552923E10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
178	0	1	72	15.4	15.4	1.0	5.174663E19	9.042124E10	9.042124E10	9.042124E10	9.042124E10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
179	0	1	73	15.6	15.6	1.0	9.74389E19	1.32828807E11	1.32828807E11	1.32828807E11	1.32828807E11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
180	0	1	74	15.8	15.8	1.0	1.8347744E20	1.9512551E11	1.9512551E11	1.9512551E11	1.9512551E11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
181	0	1	75	16.0	16.0	1.0	3.45488E20	2.86639391E11	2.86639391E11	2.86639391E11	2.86639391E11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
182	0	1	76	16.2	16.2	1.0	6.50554E20	4.21073256E11	4.21073256E11	4.21073256E11	4.21073256E11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
183	0	1	77	16.4	16.4	1.0	1.224993E21	6.1855662E11	6.1855662E11	6.1855662E11	6.1855662E11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
184	0	1	78	16.6	16.6	1.0	2.306662E21	9.0865965E11	9.0865965E11	9.0865965E11	9.0865965E11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
185	0	1	79	16.8	16.8	1.0	4.3434446E21	1.334821E12	1.334821E12	1.334821E12	1.334821E12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
186	0	1	80	17.0	17.0	1.0	8.178706E21	1.96085206E12	1.96085206E12	1.96085206E12	1.96085206E12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
187	0	1	81	17.2	17.2	1.0	1.5400504E22	2.88049175E12	2.88049175E12	2.88049175E12	2.88049175E12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
188	0	1	82	17.4	17.4	1.0	2.8999149E22	4.2314422E12	4.2314422E12	4.2314422E12	4.2314422E12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
189	0	1	83	17.6	17.6	1.0	5.46054E22	6.2159889E12	6.2159889E12	6.2159889E12	6.2159889E12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
190	0	1	84	17.8	17.8	1.0	1.0282196E23	9.1312871E12	9.1312871E12	9.1312871E12	9.1312871E12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
191	0	1	85	18.0	18.0	1.0	1.9361375E23	1.34138613E13	1.34138613E13	1.34138613E13	1.34138613E13	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
192	0	1	86	18.2	18.2	1.0	3.6457468E23	1.97049618E13	1.97049618E13	1.97049618E13	1.97049618E13	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
193	0	1	87	18.4	18.4	1.0	6.8649414E23	2.89465906E13	2.89465906E13	2.89465906E13	2.89465906E13	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
194	0	1	88	18.6	18.6	1.0	1.2926684E24	4.2522542E13	4.2522542E13	4.2522542E13	4.2522542E13	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
195	0	1	89	18.8	18.8	1.0	2.434095E24	6.246561E13	6.246561E13	6.246561E13	6.246561E13	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
196	0	1	90	19.0	19.0	1.0	4.5834005E24	9.1761985E13	9.1761985E13	9.1761985E13	9.1761985E13	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
197	0	1	91	19.2	19.2	1.0	8.6305427E24	1.34798354E14	1.34798354E14	1.34798354E14	1.34798354E14	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
198	0	1	92	19.4	19.4	1.0	1.6251313E25	1.98018779E14	1.98018779E14	1.98018779E14	1.98018779E14	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
199	0	1	93	19.6	19.6	1.0	3.060122E25	2.90889579E14	2.90889579E14	2.90889579E14	2.90889579E14	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
200	0	1	94	19.8	19.8	1.0	5.76221E25	4.27316799E14	4.27316799E14	4.27316799E14	4.27316799E14	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
201	0	1	95	20.0	20.0	1.0	1.0850241E26	6.277284E14	6.277284E14	6.277284E14	6.277284E14	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
202	0	1	96	20.2	20.2	1.0	2.0431005E26	9.2213304E14	9.2213304E14	9.2213304E14	9.2213304E14	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
203	0	1	97	20.4	20.4	1.0	3.847158E26	1.35461336E15	1.35461336E15	1.35461336E15	1.35461336E15	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
204	0	1	98	20.6	20.6	1.0	7.244199E26	1.98992707E15	1.98992707E15	1.98992707E15	1.98992707E15	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
205	0	1	99	20.8	20.8	1.0	1.3640826E27	2.92320279E15	2.92320279E15	2.92320279E15	2.92320279E15	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
206	0	1	100	21.0	21.0	1.0	2.5685677E27	4.29418508E15	4.29418508E15	4.29418508E15	4.29418508E15	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
