ROWID	_NeedJob|INTEGER	_IconIndex|INTEGER	_ConditionType1|INTEGER	_ConditionType2|INTEGER	_ConditionType3|INTEGER	_ConditionType4|INTEGER	_ConditionType5|INTEGER	_ConditionFactor1|TEXT	_ConditionFactor2|TEXT	_ConditionFactor3|TEXT	_ConditionFactor4|TEXT	_ConditionFactor5|TEXT	_BubbleType1|INTEGER	_BubbleType2|INTEGER	_BubbleType3|INTEGER	_BubbleType4|INTEGER	_BubbleType5|INTEGER	_BubbleFactor1|TEXT	_BubbleFactor2|TEXT	_BubbleFactor3|TEXT	_BubbleFactor4|TEXT	_BubbleFactor5|TEXT	_ContentsID|TEXT
1554	0	100000000	1	0	0	0	0						1	5	0	0	0	436;60000;1	436;1;81318;0				
1555	106	266	13	0	0	0	0	73;75;60;61;171;172					1	0	0	0	0	437;600000;1					
1556	106	266	5	24	0	0	0	62	Skill_KnightPunch_Hit				1	0	0	0	0	437;600000;2					
1557	106	266	5	24	0	0	0	62	Skill_AwA_KnightPunch_Hit				1	0	0	0	0	437;600000;10					
1570	108	100000000	5	1	0	0	0	150	142				5	0	0	0	0	437;0;153;0					
1572	106	266	19	15	0	0	0	141;0	437				1	0	0	0	0	437;600000;2					
1573	108	268	5	24	0	0	0	163	Skill_CrossoverEX_Enhance;Skill_CrossoverEX_Enhance_ChangeUp				1	0	0	0	0	438;600000;1					
1574	108	268	5	24	0	0	0	163	Skill_AwG_DoubleHelix;Skill_AwG_DoubleHelix_ChangeUp				1	0	0	0	0	438;600000;1					
1575	108	268	5	24	0	0	0	163	Skill_WindBreakerEX_Enhance;Skill_WindBreakerEX_Enhance_ChangeUp				1	0	0	0	0	438;600000;1					
1576	108	268	5	24	0	0	0	163	Skill_SpinDriftEX_Enhance;Skill_SpinDriftEX_Enhance_S1J				1	0	0	0	0	438;600000;1					
1577	108	268	5	24	0	0	0	163	Skill_ImpalerEX_Enhance;Skill_ImpalerEX_Instant;Skill_ImpalerEX_Enhance_S2J				1	0	0	0	0	438;600000;1					
1578	108	268	5	24	0	0	0	163	Skill_PanningCleaveEX_Enhance;Skill_PanningCleaveEX_Enhance_S3J				1	0	0	0	0	438;600000;1					
1579	108	268	5	24	0	0	0	163	Skill_ImpactWave_Enhance				1	0	0	0	0	438;600000;1					
1580	108	268	5	24	0	0	0	163	Skill_AwG_SwordOfRain_Shoot01				2	0	0	0	0	438;10					
1581	108	268	5	24	0	0	0	163	Skill_AwG_SwordOfRain_Shoot02				2	0	0	0	0	438;10					
1582	108	268	5	24	0	0	0	163	Skill_AwG_SwordOfRain_Shoot03				2	0	0	0	0	438;10					
1583	108	268	5	24	0	0	0	163	Skill_AwG_SwordOfRain_Shoot04				2	0	0	0	0	438;10					
1584	108	268	5	24	0	0	0	163	Skill_AwG_SwordOfRain_Shoot05				2	0	0	0	0	438;10					
1585	108	268	5	24	0	0	0	163	Skill_AwG_SwordOfRain_Shoot06				2	0	0	0	0	438;10					
1586	108	268	5	24	0	0	0	163	Skill_AwG_SwordOfRain_Shoot07				2	0	0	0	0	438;10					
1587	108	268	5	24	0	0	0	163	Skill_AwG_SwordOfRain_Shoot08				2	0	0	0	0	438;10					
1588	108	268	5	24	0	0	0	163	Skill_AwG_SwordOfRain_Shoot09				2	0	0	0	0	438;10					
1589	108	268	5	24	0	0	0	163	Skill_AwG_SwordOfRain_Shoot10				2	0	0	0	0	438;10					
1590	108	268	5	4	0	0	0	163	438				3	0	0	0	0	438;173					
1600	107	266	5	13	0	0	0	102	72;74;76;120				1	0	0	0	0	437;600000;1					
1602	107	100000000	5	24	0	0	0	106	Skill_VisionBlowEX_Bubble_Charge				1	0	0	0	0	440;4000;1					
1603	107	100000000	5	24	0	0	0	107	Skill_CelestialWaveEX_Bubble_Charge				1	0	0	0	0	440;2500;1					
1604	107	100000000	5	24	0	0	0	108	Skill_OverLineEX_Bubble_Loop				1	0	0	0	0	440;4000;1					
1605	107	100000000	5	1	0	0	0	106	112;113;114				2	0	0	0	0	440;1					
1606	107	266	5	24	0	0	0	110	Skill_VisionBlowEX_Bubble_Fail;Skill_CelestialWaveEX_Bubble_Fail;Skill_OverLineEX_Bubble_Fail				1	0	0	0	0	437;600000;10					
1607	107	100000000	5	24	19	0	0	110	Skill_VisionBlowEX_Bubble_Full;Skill_CelestialWaveEX_Bubble_Charge_Full;Skill_OverLineEX_Bubble_Attack3	101;0			5	0	0	0	0	0;0;117;0					
1608	107	100000000	5	24	19	0	0	110	Skill_VisionBlowEX_Bubble_Full;Skill_CelestialWaveEX_Bubble_Charge_Full;Skill_OverLineEX_Bubble_Attack3	130;0			5	0	0	0	0	0;0;117;0					
1609	107	100000000	5	1	0	0	0	110	101				5	0	0	0	0	0;0;135;0					
1610	107	100000000	5	1	0	0	0	123	130				5	5	0	0	0	0;0;133;0	0;0;135;0				
1611	107	100000000	5	1	0	0	0	123	136				5	0	0	0	0	0;0;133;0					
1612	107	100000000	5	24	0	0	0	106	Skill_VisionBlowEX_Charge_S2J				1	0	0	0	0	440;4000;1					
1613	107	100000000	5	24	0	0	0	106	Skill_CelestialWaveEX_Charge_S3J				1	0	0	0	0	440;3000;1					
1614	107	100000000	5	24	0	0	0	110	Skill_VisionBlowEX_Full_S2J;Skill_CelestialWaveEX_Full_S3J				5	0	0	0	0	0;0;117;0					
1615	107	100000000	5	1	19	0	0	109	115	101;0			5	0	0	0	0	0;0;118;0					
1616	107	100000000	5	1	19	0	0	109	115	130;0			5	0	0	0	0	0;0;118;0					
1617	107	100000000	5	1	0	0	0	109	130				5	0	0	0	0	0;0;118;0					
1618	107	100000000	5	1	0	0	0	109	101				5	0	0	0	0	0;0;118;0					
1619	107	266	24	13	0	0	0	Skill_BangSwordEX_S1J;Skill_BangSwordEX_Attack_S1J	61				1	0	0	0	0	437;600000;1					
