ROWID	_PhysicalAttackMinRevision|INTEGER	_PhysicalAttackMaxRevision|INTEGER	_MagicAttackMinRevision|INTEGER	_MagicAttackMaxRevision|INTEGER	_PhysicalDefenseRevision|INTEGER	_MagicDefenseRevision|INTEGER	_MaxHPRevision|INTEGER	_MaxSPRevision|INTEGER	_RecoverySPRevision|INTEGER	_StiffRevision|INTEGER	_StiffResistanceRevision|INTEGER	_CriticalRevision|INTEGER	_CriticalResistanceRevision|INTEGER	_StunRevision|INTEGER	_StunResistanceRevision|INTEGER	_SuperAmmorRevision|INTEGER	_MoveSpeedRevision|INTEGER	_FinalDamageRevision|INTEGER	_ElementAttackRevision|INTEGER	_ElementDefenseRevision|INTEGER	_StrengthRevision|INTEGER	_AgilityRevision|INTEGER	_IntelligenceRevision|INTEGER	_StaminaRevision|INTEGER	_CriticalDamageRevision|INTEGER	_PVPAttackPowerRevision|INTEGER	_PVPDefencePowerRevision|INTEGER
4294	9132	12253	11050	15018	142807	139979	149430	241051	1557	25204	14943	20994	16810	12452	12452	100	300	4989	1	1	4981	1601	6227	4981	20994	1	1
4295	9820	13176	11882	16150	153564	150523	160680	259206	1674	27101	16068	22577	18081	13390	13390	100	300	5144	1	1	5356	1722	6696	5356	22577	1	1
4296	10555	14161	12770	17356	165043	161774	172710	278563	1799	29129	17271	24262	19425	14392	14392	100	300	5300	1	1	5757	1850	7196	5757	24262	1	1
4297	11335	15208	13715	18640	177245	173735	185460	299193	1932	31281	18546	26057	20864	15455	15455	100	300	5455	1	1	6182	1987	7729	6182	26057	1	1
4298	12161	16317	14715	19999	190169	186402	198990	320989	2073	33562	19899	27957	22386	16582	16582	100	300	5611	1	1	6633	2132	8292	6633	27957	1	1
4299	13039	17495	15777	21442	203896	199857	213360	344140	2222	35986	21336	29975	24003	17780	17780	100	300	5766	1	1	7112	2286	8890	7112	29975	1	1
4300	13958	18728	16889	22954	218265	213942	228390	368409	2379	38521	22839	32088	25694	19032	19032	100	300	5922	1	1	7613	2447	9517	7613	32088	1	1
4301	22	29	27	36	323	318	420	682	4	65	42	49	42	35	35	100	300	75	1	1	14	4	18	14	49	1	1
4302	26	34	31	42	375	369	480	796	5	75	48	58	52	40	40	100	300	87	1	1	16	5	21	16	58	1	1
4303	29	39	36	48	426	420	540	909	6	85	54	67	63	45	45	100	300	99	1	1	18	6	24	18	67	1	1
4304	33	44	39	53	478	470	630	952	6	97	63	76	74	52	52	100	300	111	1	1	21	7	25	21	76	1	1
4305	37	48	44	59	530	521	690	1101	7	107	69	81	74	58	58	100	300	123	1	1	23	7	29	23	81	1	1
4306	40	53	48	65	581	572	750	1214	8	117	75	90	84	62	62	100	300	135	1	1	25	8	32	25	90	1	1
4307	44	57	53	71	633	623	810	1327	9	126	81	100	94	68	68	100	300	147	1	1	27	9	35	27	100	1	1
4308	48	63	56	75	685	673	900	1371	9	139	90	109	105	75	75	100	300	159	1	1	30	10	36	30	109	1	1
4309	51	67	61	82	737	725	960	1519	10	149	96	114	105	80	80	100	300	171	1	1	32	10	40	32	114	1	1
4310	54	72	65	87	788	776	1020	1632	11	158	102	123	116	85	85	100	300	183	1	1	34	11	43	34	123	1	1
4311	58	76	70	93	840	827	1080	1746	11	168	108	132	126	90	90	100	300	195	1	1	36	12	46	36	132	1	1
4312	62	81	74	99	892	877	1170	1824	12	181	117	138	126	98	98	100	300	207	1	1	39	12	48	39	138	1	1
4313	65	86	78	104	943	928	1230	1937	13	191	123	147	136	102	102	100	300	219	1	1	41	13	51	41	147	1	1
4314	69	90	82	110	995	979	1290	2051	13	200	129	156	147	108	108	100	300	231	1	1	43	14	54	43	156	1	1
4315	85	111	102	136	1227	1208	1590	2543	17	247	159	191	178	132	132	100	300	285	1	1	53	17	67	53	191	1	1
4316	89	117	107	143	1292	1271	1680	2659	18	261	168	202	189	140	140	100	300	300	1	1	56	18	70	56	202	1	1
4317	94	123	112	150	1357	1334	1770	2774	18	274	177	212	200	148	148	100	300	315	1	1	59	19	73	59	212	1	1
4318	98	129	117	157	1421	1397	1860	2890	19	288	186	223	210	155	155	100	300	330	1	1	62	20	76	62	223	1	1
4319	102	135	123	165	1485	1462	1920	3075	20	298	192	233	220	160	160	100	300	345	1	1	64	21	81	64	233	1	1
4320	107	141	128	171	1550	1525	2010	3190	21	312	201	243	231	168	168	100	300	360	1	1	67	22	84	67	243	1	1
4321	111	146	134	179	1615	1589	2100	3341	22	326	210	250	231	175	175	100	300	375	1	1	70	22	88	70	250	1	1
4322	116	152	139	186	1679	1652	2190	3456	23	339	219	261	242	182	182	100	300	390	1	1	73	23	91	73	261	1	1
4323	120	158	144	192	1744	1715	2280	3571	24	353	228	271	252	190	190	100	300	405	1	1	76	24	94	76	271	1	1
4324	124	164	150	200	1808	1780	2340	3757	24	363	234	282	262	195	195	100	300	420	1	1	78	25	99	78	282	1	1
4325	132	173	157	210	1906	1873	2490	3877	26	385	249	299	284	208	208	100	300	442	1	1	83	27	102	83	299	1	1
4326	138	182	165	221	2002	1969	2610	4103	27	404	261	313	294	218	218	100	300	465	1	1	87	28	108	87	313	1	1
4327	144	190	174	232	2099	2065	2730	4329	28	423	273	327	304	228	228	100	300	487	1	1	91	29	114	91	327	1	1
4328	151	199	181	242	2196	2160	2850	4519	30	442	285	344	326	238	238	100	300	510	1	1	95	31	119	95	344	1	1
4329	158	208	190	253	2292	2256	2970	4745	31	461	297	358	336	248	248	100	300	532	1	1	99	32	125	99	358	1	1
4330	165	217	197	264	2390	2350	3120	4900	32	483	312	372	346	260	260	100	300	555	1	1	104	33	129	104	372	1	1
4331	171	226	205	274	2486	2445	3240	5091	34	502	324	389	368	270	270	100	300	577	1	1	108	35	134	108	389	1	1
4332	178	234	213	285	2583	2541	3360	5317	35	521	336	403	378	280	280	100	300	600	1	1	112	36	140	112	403	1	1
4333	187	246	224	299	2712	2667	3540	5547	37	548	354	424	399	295	295	100	300	630	1	1	118	38	146	118	424	1	1
4334	195	257	235	313	2841	2795	3690	5848	38	572	369	445	420	308	308	100	300	660	1	1	123	40	154	123	445	1	1
4335	204	269	245	328	2970	2922	3870	6114	40	599	387	462	430	322	322	100	300	690	1	1	129	41	161	129	462	1	1
4336	213	280	256	342	3099	3050	4020	6415	42	624	402	483	452	335	335	100	300	720	1	1	134	43	169	134	483	1	1
4337	222	292	266	356	3229	3176	4200	6645	44	651	420	504	472	350	350	100	300	750	1	1	140	45	175	140	504	1	1
4338	231	304	277	370	3358	3302	4380	6876	46	678	438	525	494	365	365	100	300	780	1	1	146	47	181	146	525	1	1
4339	240	316	288	384	3487	3430	4530	7177	47	702	453	546	514	378	378	100	300	810	1	1	151	49	189	151	546	1	1
4340	249	327	298	398	3616	3557	4710	7443	49	730	471	563	525	392	392	100	300	850	1	1	157	50	196	157	563	1	1
4341	265	349	319	425	3855	3793	5040	7971	52	780	504	602	567	420	420	100	300	894	1	1	168	54	210	168	602	1	1
4342	282	371	339	452	4091	4026	5370	8499	56	829	537	642	609	448	448	100	300	938	1	1	179	58	224	179	642	1	1
4343	299	393	359	479	4327	4259	5700	9062	60	879	570	677	640	475	475	100	300	982	1	1	190	61	239	190	677	1	1
4344	315	413	376	502	4536	4463	6060	9515	63	930	606	714	682	505	505	100	300	1026	1	1	202	65	251	202	714	1	1
4345	333	437	399	532	4794	4719	6420	10151	67	984	642	755	724	535	535	100	300	1070	1	1	214	69	268	214	755	1	1
4346	351	461	421	560	5050	4971	6810	10717	71	1042	681	797	766	568	568	100	300	1114	1	1	227	73	283	227	797	1	1
4347	369	485	443	590	5306	5224	7170	11353	75	1096	717	838	808	598	598	100	300	1158	1	1	239	77	300	239	838	1	1
4348	388	508	464	618	5556	5470	7560	11918	79	1153	756	878	850	630	630	100	300	1202	1	1	252	81	315	252	878	1	1
4349	408	534	489	650	5834	5745	7980	12593	83	1214	798	922	892	665	665	100	300	1246	1	1	266	85	333	266	922	1	1
4350	429	562	514	684	6141	6047	8400	13237	88	1278	840	972	945	700	700	100	300	1290	1	1	280	90	350	280	972	1	1
4351	465	613	559	746	6778	6669	8820	13971	92	1366	882	1056	987	735	735	100	300	1336	1	1	294	94	368	294	1056	1	1
4352	495	653	595	796	7274	7153	9240	14647	96	1444	924	1127	1040	770	770	100	300	1382	1	1	308	99	385	308	1127	1	1
4353	530	701	637	855	7855	7721	9690	15441	101	1531	969	1207	1092	808	808	100	300	1428	1	1	323	104	405	323	1207	1	1
4354	565	750	680	914	8459	8309	10170	16169	106	1623	1017	1290	1144	848	848	100	300	1474	1	1	339	109	423	339	1290	1	1
4355	601	799	725	977	9081	8917	10620	16971	111	1713	1062	1375	1197	885	885	100	300	1520	1	1	354	114	443	354	1375	1	1
4356	639	851	770	1040	9726	9545	11100	17706	116	1807	1110	1463	1250	925	925	100	300	1566	1	1	370	119	461	370	1463	1	1
4357	681	910	823	1114	10471	10273	11580	18632	121	1909	1158	1561	1302	965	965	100	300	1612	1	1	386	124	484	386	1561	1	1
4358	727	974	879	1193	11289	11069	12090	19466	126	2020	1209	1671	1365	1008	1008	100	300	1658	1	1	403	130	504	403	1671	1	1
4359	770	1033	932	1266	12041	11803	12600	20323	131	2125	1260	1770	1418	1050	1050	100	300	1704	1	1	420	135	525	420	1770	1	1
4360	801	1074	969	1317	12523	12275	13110	21136	136	2211	1311	1840	1470	1092	1092	100	300	1750	1	1	437	140	546	437	1840	1	1
4361	837	1123	1013	1376	13084	12826	13680	22102	143	2308	1368	1925	1544	1140	1140	100	300	1812	1	1	456	147	571	456	1925	1	1
4362	883	1185	1068	1452	13807	13533	14460	23269	150	2438	1446	2031	1628	1205	1205	100	300	1874	1	1	482	155	601	482	2031	1	1
4363	939	1260	1137	1545	14690	14400	15360	24812	160	2591	1536	2161	1732	1280	1280	100	300	1937	1	1	512	165	641	512	2161	1	1
4364	1006	1350	1217	1655	15734	15422	16470	26556	172	2777	1647	2312	1848	1372	1372	100	300	1999	1	1	549	176	686	549	2312	1	1
4365	1083	1453	1310	1781	16938	16602	17730	28570	185	2990	1773	2490	1995	1478	1478	100	300	2062	1	1	591	190	738	591	2490	1	1
4366	1170	1570	1417	1925	18302	17941	19140	30926	200	3229	1914	2690	2152	1595	1595	100	300	2124	1	1	638	205	799	638	2690	1	1
4367	1268	1701	1534	2085	19828	19435	20760	33448	216	3501	2076	2914	2331	1730	1730	100	300	2186	1	1	692	222	864	692	2914	1	1
4368	1379	1850	1667	2266	21555	21128	22560	36353	235	3805	2256	3170	2541	1880	1880	100	300	2249	1	1	752	242	939	752	3170	1	1
4369	1502	2015	1817	2470	23482	23017	24570	39639	256	4144	2457	3451	2762	2048	2048	100	300	2311	1	1	819	263	1024	819	3451	1	1
4370	1637	2197	1982	2693	25607	25101	26790	43238	279	4519	2679	3764	3014	2232	2232	100	300	2374	1	1	893	287	1117	893	3764	1	1
4371	1779	2387	2152	2925	27816	27266	29100	46956	303	4909	2910	4090	3276	2425	2425	100	300	2458	1	1	970	312	1213	970	4090	1	1
4372	1925	2583	2329	3166	30103	29507	31500	50826	328	5313	3150	4424	3538	2625	2625	100	300	2543	1	1	1050	337	1313	1050	4424	1	1
4373	2074	2783	2509	3411	32431	31788	33930	54737	354	5723	3393	4769	3822	2828	2828	100	300	2627	1	1	1131	364	1414	1131	4769	1	1
4374	2231	2993	2698	3668	34881	34189	36510	58844	380	6157	3651	5128	4106	3042	3042	100	300	2712	1	1	1217	391	1520	1217	5128	1	1
4375	2397	3217	2900	3942	37488	36745	39240	63255	409	6617	3924	5510	4410	3270	3270	100	300	2797	1	1	1308	420	1634	1308	5510	1	1
4376	2572	3451	3112	4229	40217	39420	42090	67862	438	7099	4209	5913	4736	3508	3508	100	300	2881	1	1	1403	451	1753	1403	5913	1	1
4377	2754	3695	3333	4529	43068	42216	45060	72698	469	7600	4506	6332	5072	3755	3755	100	300	2966	1	1	1502	483	1878	1502	6332	1	1
4378	2944	3950	3562	4841	46039	45127	48180	77694	502	8126	4818	6768	5418	4015	4015	100	300	3050	1	1	1606	516	2007	1606	6768	1	1
4379	3142	4216	3801	5166	49128	48154	51420	82884	536	8672	5142	7223	5786	4285	4285	100	300	3135	1	1	1714	551	2141	1714	7223	1	1
4380	3347	4491	4049	5504	52339	51301	54780	88303	570	9238	5478	7695	6164	4565	4565	100	300	3220	1	1	1826	587	2281	1826	7695	1	1
4381	3578	4801	4329	5884	55951	54842	58560	94418	610	9876	5856	8225	6584	4880	4880	100	300	3334	1	1	1952	627	2439	1952	8225	1	1
4382	3835	5145	4640	6306	59965	58776	62760	101192	654	10584	6276	8815	7056	5230	5230	100	300	3449	1	1	2092	672	2614	2092	8815	1	1
4383	4117	5524	4981	6770	64380	63104	67380	108626	702	11364	6738	9465	7581	5615	5615	100	300	3564	1	1	2246	722	2806	2246	9465	1	1
4384	4425	5938	5354	7276	69196	67825	72420	116756	754	12214	7242	10173	8148	6035	6035	100	300	3678	1	1	2414	776	3016	2414	10173	1	1
4385	4764	6392	5765	7835	74494	73019	77940	125768	812	13146	7794	10951	8768	6495	6495	100	300	3793	1	1	2598	835	3249	2598	10951	1	1
4386	5128	6881	6205	8434	80194	78606	83910	135370	874	14153	8391	11789	9440	6992	6992	100	300	3908	1	1	2797	899	3497	2797	11789	1	1
4387	5518	7404	6677	9075	86295	84586	90300	145667	941	15230	9030	12685	10154	7525	7525	100	300	4022	1	1	3010	967	3763	3010	12685	1	1
4388	5934	7962	7180	9759	92797	90959	97110	156624	1012	16378	9711	13641	10920	8092	8092	100	300	4137	1	1	3237	1040	4046	3237	13641	1	1
4389	6371	8548	7708	10476	99620	97646	104250	168123	1086	17583	10425	14646	11728	8688	8688	100	300	4252	1	1	3475	1117	4343	3475	14646	1	1
4390	6838	9175	8273	11244	106925	104806	111900	180435	1166	18872	11190	15720	12590	9325	9325	100	300	4367	1	1	3730	1199	4661	3730	15720	1	1
4391	7346	9857	8888	12080	114872	112596	120210	193866	1252	20274	12021	16888	13524	10018	10018	100	300	4522	1	1	4007	1288	5008	4007	16888	1	1
4392	7895	10593	9553	12984	123461	121017	129180	208416	1346	21789	12918	18150	14532	10765	10765	100	300	4678	1	1	4306	1384	5384	4306	18150	1	1
4393	8491	11392	10273	13963	132773	130143	138930	224097	1447	23433	13893	19521	15634	11578	11578	100	300	4833	1	1	4631	1489	5789	4631	19521	1	1
4394	9132	12253	11050	15018	142807	139979	149430	241051	1557	25204	14943	20994	16810	12452	12452	100	300	4989	1	1	4981	1601	6227	4981	20994	1	1
4395	9820	13176	11882	16150	153564	150523	160680	259206	1674	27101	16068	22577	18081	13390	13390	100	300	5144	1	1	5356	1722	6696	5356	22577	1	1
4396	10555	14161	12770	17356	165043	161774	172710	278563	1799	29129	17271	24262	19425	14392	14392	100	300	5300	1	1	5757	1850	7196	5757	24262	1	1
4397	11335	15208	13715	18640	177245	173735	185460	299193	1932	31281	18546	26057	20864	15455	15455	100	300	5455	1	1	6182	1987	7729	6182	26057	1	1
4398	12161	16317	14715	19999	190169	186402	198990	320989	2073	33562	19899	27957	22386	16582	16582	100	300	5611	1	1	6633	2132	8292	6633	27957	1	1
4399	13039	17495	15777	21442	203896	199857	213360	344140	2222	35986	21336	29975	24003	17780	17780	100	300	5766	1	1	7112	2286	8890	7112	29975	1	1
4400	13958	18728	16889	22954	218265	213942	228390	368409	2379	38521	22839	32088	25694	19032	19032	100	300	5922	1	1	7613	2447	9517	7613	32088	1	1
4401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	1	1
4402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	1	1
4403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	1	1
4404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	1	1
4405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	1	1
4406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	1	1
4407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	1	1
4408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	1	1
4409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	1	1
4410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	1	1
4411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	1	1
4412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	1	1
4413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	1	1
4414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	1	1
4415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	1	1
4416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	1	1
4417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0	0	0	0	1	1
4418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0	0	0	1	1
4419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0	1	1
4420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0	0	0	1	1
4421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	1	1
4422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	0	0	0	0	0	0	0	1	1
4423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0	0	0	0	0	0	0	1	1
4424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420	0	0	0	0	0	0	0	1	1
4425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	442	0	0	0	0	0	0	0	1	1
4426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	0	0	0	0	0	0	0	1	1
4427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	487	0	0	0	0	0	0	0	1	1
4428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510	0	0	0	0	0	0	0	1	1
4429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	532	0	0	0	0	0	0	0	1	1
4430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	555	0	0	0	0	0	0	0	1	1
4431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	577	0	0	0	0	0	0	0	1	1
4432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0	0	1	1
4433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	630	0	0	0	0	0	0	0	1	1
4434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	660	0	0	0	0	0	0	0	1	1
4435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	690	0	0	0	0	0	0	0	1	1
4436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	720	0	0	0	0	0	0	0	1	1
4437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	750	0	0	0	0	0	0	0	1	1
4438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	780	0	0	0	0	0	0	0	1	1
4439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	810	0	0	0	0	0	0	0	1	1
4440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	850	0	0	0	0	0	0	0	1	1
4441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	894	0	0	0	0	0	0	0	1	1
4442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	938	0	0	0	0	0	0	0	1	1
4443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	982	0	0	0	0	0	0	0	1	1
4444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1026	0	0	0	0	0	0	0	1	1
4445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1070	0	0	0	0	0	0	0	1	1
4446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1114	0	0	0	0	0	0	0	1	1
4447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1158	0	0	0	0	0	0	0	1	1
4448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1202	0	0	0	0	0	0	0	1	1
4449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1246	0	0	0	0	0	0	0	1	1
4450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1290	0	0	0	0	0	0	0	1	1
4451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1336	0	0	0	0	0	0	0	1	1
4452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1382	0	0	0	0	0	0	0	1	1
4453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1428	0	0	0	0	0	0	0	1	1
4454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1474	0	0	0	0	0	0	0	1	1
4455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1520	0	0	0	0	0	0	0	1	1
4456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1566	0	0	0	0	0	0	0	1	1
4457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1612	0	0	0	0	0	0	0	1	1
4458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1658	0	0	0	0	0	0	0	1	1
4459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1704	0	0	0	0	0	0	0	1	1
4460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1750	0	0	0	0	0	0	0	1	1
4461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1812	0	0	0	0	0	0	0	1	1
4462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1874	0	0	0	0	0	0	0	1	1
4463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1937	0	0	0	0	0	0	0	1	1
4464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1999	0	0	0	0	0	0	0	1	1
4465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2062	0	0	0	0	0	0	0	1	1
4466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2124	0	0	0	0	0	0	0	1	1
4467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2186	0	0	0	0	0	0	0	1	1
4468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2249	0	0	0	0	0	0	0	1	1
4469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2311	0	0	0	0	0	0	0	1	1
4470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2374	0	0	0	0	0	0	0	1	1
4471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2458	0	0	0	0	0	0	0	1	1
4472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2543	0	0	0	0	0	0	0	1	1
4473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2627	0	0	0	0	0	0	0	1	1
4474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2712	0	0	0	0	0	0	0	1	1
4475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2797	0	0	0	0	0	0	0	1	1
4476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2881	0	0	0	0	0	0	0	1	1
4477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2966	0	0	0	0	0	0	0	1	1
4478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3050	0	0	0	0	0	0	0	1	1
4479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3135	0	0	0	0	0	0	0	1	1
4480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3220	0	0	0	0	0	0	0	1	1
4481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3334	0	0	0	0	0	0	0	1	1
4482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3449	0	0	0	0	0	0	0	1	1
4483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3564	0	0	0	0	0	0	0	1	1
4484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3678	0	0	0	0	0	0	0	1	1
4485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3793	0	0	0	0	0	0	0	1	1
4486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3908	0	0	0	0	0	0	0	1	1
4487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4022	0	0	0	0	0	0	0	1	1
4488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4137	0	0	0	0	0	0	0	1	1
4489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4252	0	0	0	0	0	0	0	1	1
4490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4367	0	0	0	0	0	0	0	1	1
4491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4522	0	0	0	0	0	0	0	1	1
4492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4678	0	0	0	0	0	0	0	1	1
4493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4833	0	0	0	0	0	0	0	1	1
4494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4989	0	0	0	0	0	0	0	1	1
4495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5144	0	0	0	0	0	0	0	1	1
4496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5300	0	0	0	0	0	0	0	1	1
4497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5455	0	0	0	0	0	0	0	1	1
4498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5611	0	0	0	0	0	0	0	1	1
4499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5766	0	0	0	0	0	0	0	1	1
4500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5922	0	0	0	0	0	0	0	1	1
4501	34	43	32	42	172	231	300	420	4	30	30	85	189	25	25	100	300	75	1	1	10	18	12	10	85	1	1
4502	39	50	37	49	200	268	360	490	5	36	36	96	210	30	30	100	300	87	1	1	12	20	14	12	96	1	1
4503	45	57	42	55	227	305	390	560	6	39	39	113	252	32	32	100	300	99	1	1	13	24	16	13	113	1	1
4504	50	63	47	62	254	342	450	630	6	45	45	124	273	38	38	100	300	111	1	1	15	26	18	15	124	1	1
4505	56	71	52	69	281	378	480	700	7	48	48	142	315	40	40	100	300	123	1	1	16	30	20	16	142	1	1
4506	61	77	57	75	309	415	540	770	8	54	54	152	336	45	45	100	300	135	1	1	18	32	22	18	152	1	1
4507	66	84	62	82	337	452	600	840	9	60	60	163	357	50	50	100	300	147	1	1	20	34	24	20	163	1	1
4508	72	91	67	89	364	489	630	910	9	63	63	180	399	52	52	100	300	159	1	1	21	38	26	21	180	1	1
